start date;cohort size;0 days later;1 days later;2 days later;3 days later;4 days later;5 days later;6 days later;7 days later;8 days later;9 days later;10 days later;11 days later;12 days later;13 days later;14 days later;15 days later;16 days later;17 days later;18 days later;19 days later;20 days later;21 days later;22 days later;23 days later;24 days later;25 days later;26 days later;27 days later;28 days later;29 days later;30 days later;31 days later;32 days later;33 days later;34 days later;35 days later;36 days later;37 days later;38 days later;39 days later;40 days later;41 days later;42 days later;43 days later;44 days later;45 days later;46 days later;47 days later;48 days later;49 days later;50 days later;51 days later;52 days later;53 days later;54 days later;55 days later;56 days later;57 days later;58 days later;59 days later;60 days later
03/07/2017;49848;49535;5728;4098;3344;2675;2276;2417;2465;2230;2029;1808;1645;1395;1602;1706;1581;1462;1338;1181;1148;1306;1377;1365;1275;1212;1072;951;1094;1164;1094;1131;1006;895;869;1000;1030;1019;932;929;846;822;831;864;867;964;901;829;787;860;1006;896;865;814;749;691;775;808;773;802;770;704
04/07/2017;49376;48964;5349;3779;2910;2347;2491;2550;2317;2125;1958;1659;1414;1615;1657;1563;1400;1422;1160;1088;1273;1431;1393;1343;1230;1054;921;1038;1178;1057;1115;1037;880;831;999;1112;1046;1005;935;821;725;781;808;873;878;854;824;774;848;910;894;867;770;690;674;791;822;810;783;813;755;686
05/07/2017;48296;47918;5209;3615;2700;2737;2642;2318;2235;1955;1719;1471;1582;1695;1610;1536;1369;1255;1164;1334;1425;1330;1282;1297;1105;934;1070;1101;1073;1076;967;940;890;994;1032;988;967;884;794;772;819;843;855;890;858;761;795;826;909;898;816;777;670;650;763;855;820;799;754;720;698;712
06/07/2017;43679;43293;4299;2962;2696;2626;2347;2132;1865;1533;1354;1477;1519;1376;1327;1249;1100;1065;1130;1259;1234;1186;1116;1037;872;922;992;991;986;931;844;778;867;877;846;829;838;733;709;705;737;758;813;790;739;718;759;823;792;723;724;631;618;674;728;726;699;715;644;610;653;656
07/07/2017;44164;43792;4190;3511;3136;2697;2375;2038;1836;1550;1583;1690;1500;1445;1352;1270;1137;1182;1346;1231;1158;1115;1047;913;1006;991;975;951;986;912;874;911;955;872;860;849;744;756;722;776;819;871;770;814;758;775;786;786;730;736;680;656;730;716;691;686;703;677;666;689;711;683
08/07/2017;42387;42093;4729;3292;2626;2309;2016;1921;1949;1752;1518;1398;1323;1290;1308;1414;1282;1259;1200;1088;1075;1126;1090;1054;932;914;893;882;888;964;1000;905;863;785;757;799;867;823;826;788;708;712;840;876;814;749;683;668;612;681;743;796;688;617;601;661;724;807;671;599;605;609
09/07/2017;50406;49976;4985;3603;2969;2588;2367;2617;2421;1874;1773;1640;1538;1591;1805;1805;1443;1425;1378;1284;1294;1440;1352;1114;1064;1067;1061;1080;1245;1218;978;944;938;852;966;1103;1071;1093;1046;850;854;899;1125;1036;870;816;815;746;775;933;955;814;794;763;723;774;963;874;729;726;715;690
10/07/2017;49439;49037;5642;4080;3333;2597;2075;2249;2280;2010;1939;1781;1475;1296;1550;1658;1620;1461;1414;1175;1004;1195;1302;1186;1173;1157;986;934;1047;1102;1080;1026;954;920;829;862;858;924;1013;941;883;813;971;1002;956;883;809;747;675;830;938;831;754;738;709;656;735;779;815;772;731;629
11/07/2017;48703;48333;5299;3738;2860;2269;2308;2321;2023;1878;1765;1519;1399;1534;1636;1624;1517;1389;1250;1055;1145;1217;1211;1137;1088;971;929;1093;1174;1082;1020;986;894;808;838;881;909;1008;965;799;785;841;993;861;845;775;744;717;813;827;802;767;737;734;718;776;784;756;776;741;679;643
12/07/2017;46281;45912;5021;3301;2590;2561;2450;2183;1856;1809;1530;1388;1492;1586;1554;1547;1394;1176;1012;1146;1145;1135;1124;1010;918;869;1027;1062;1017;919;920;858;796;760;840;867;914;857;792;735;851;881;883;843;761;723;677;786;834;862;778;786;670;712;696;783;758;758;718;620;576;664
